,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,Arlit,0,NE,1587265200,12,81.39,18.7369,7.3853,7.2
1,Naze,100,JP,1587265200,75,74.79,28.3667,129.4833,15.79
2,Barrow,57,US,1587265200,94,8.6,71.2906,-156.7887,7.58
3,Padang,16,ID,1587265200,66,86.52,-0.9492,100.3543,1.05
4,Port Macquarie,9,AU,1587265200,65,73.02,-31.4333,152.9167,5.7
5,Albany,1,US,1587265200,92,35.26,42.6001,-73.9662,7.31
6,Mikhaylovsk,49,RU,1587265200,78,47.12,45.1283,42.0256,2.28
7,Kwang Binh,58,VN,1587265200,55,88.93,17.4833,106.6,3.33
8,Bambous Virieux,13,MU,1587265200,76,77.29,-20.3428,57.7575,19.33
9,Svetlaya,2,RU,1587265200,71,41.45,46.5389,138.3297,5.1
10,Saskylakh,0,RU,1587265200,88,19.65,71.9167,114.0833,7.0
11,Palana,100,RU,1587265200,92,24.93,59.1167,159.9667,15.77
12,Denpasar,95,ID,1587265200,61,88.65,-8.65,115.2167,2.62
13,Atuona,65,PF,1587265200,76,81.81,-9.8,-139.0333,14.81
14,Ushuaia,61,AR,1587265200,81,46.0,-54.8,-68.3,3.51
15,Waipawa,100,NZ,1587265200,53,61.14,-41.4122,175.5153,16.51
16,Vardø,100,NO,1587265200,83,36.18,70.3705,31.1107,15.28
17,Airai,37,TL,1587265200,43,73.67,-8.9266,125.4092,4.25
18,Mataura,64,NZ,1587265200,79,53.17,-46.1927,168.8643,11.23
19,Saldanha,100,ZA,1587265200,70,63.03,-33.0117,17.9442,2.19
20,Khatanga,0,RU,1587265200,95,21.69,71.9667,102.5,5.86
21,Narsaq,100,GL,1587265200,89,25.23,60.9167,-46.05,6.71
22,Busselton,43,AU,1587265200,57,65.91,-33.65,115.3333,21.72
23,Amahai,6,ID,1587265200,70,85.84,-3.3333,128.9167,1.97
24,Punta Arenas,81,CL,1587265200,70,45.01,-53.15,-70.9167,17.49
25,Constitución,5,CL,1587265200,88,57.43,-35.3333,-72.4167,9.08
26,Longyearbyen,85,SJ,1587265200,96,30.79,78.2186,15.6401,3.51
27,Jamestown,9,US,1587265200,78,38.71,42.097,-79.2353,9.51
28,Buin,21,CL,1587265200,49,68.76,-33.7333,-70.75,1.16
29,Lebu,82,CL,1587265200,92,53.78,-37.6167,-73.65,1.97
30,Nanortalik,71,GL,1587265200,91,28.63,60.1432,-45.2371,3.24
31,Yellowknife,100,CA,1587265200,90,34.52,62.456,-114.3525,19.89
32,Mar del Plata,20,AR,1587265200,74,62.82,-38.0023,-57.5575,21.09
33,Coquimbo,7,CL,1587265200,82,61.14,-29.9533,-71.3436,2.98
34,Salalah,53,OM,1587265200,70,80.76,17.0151,54.0924,2.35
35,Celestún,0,MX,1587265200,78,82.02,20.8667,-90.4,16.04
36,Lorengau,3,PG,1587265200,72,84.38,-2.0226,147.2712,1.52
37,Altay,34,CN,1587265200,29,53.1,47.8667,88.1167,1.43
38,Vaini,21,TO,1587265200,82,81.63,-21.2,-175.2,18.75
39,Cape Town,79,ZA,1587265200,50,66.02,-33.9258,18.4232,3.11
40,Batouri,100,CM,1587265200,77,70.65,4.4333,14.3667,2.59
41,Fort Nelson,21,CA,1587265200,70,50.11,58.8053,-122.7002,6.15
42,Matadi,94,CD,1587265200,87,75.58,-5.8167,13.45,0.56
43,Hong Kong,48,HK,1587265200,78,79.07,22.2855,114.1577,4.34
44,Tavrichanka,100,RU,1587265200,49,52.48,43.3378,131.8639,14.09
45,Tuktoyaktuk,95,CA,1587265200,96,11.89,69.4541,-133.0374,11.41
46,Antofagasta,22,CL,1587265200,72,63.75,-23.65,-70.4,4.43
47,Puerto Ayora,16,EC,1587265200,83,80.35,-0.7393,-90.3518,9.73
48,Okhotsk,0,RU,1587265200,81,18.66,59.3833,143.3,10.92
49,Hilo,52,US,1587265200,62,76.08,19.7297,-155.09,9.31
50,New Norfolk,88,AU,1587265200,57,57.24,-42.7826,147.0587,1.88
51,Batagay,87,RU,1587265200,83,7.11,67.6333,134.6333,3.18
52,Kapit,96,MY,1587265200,83,77.52,2.0167,112.9333,3.67
53,Rikitea,71,PF,1587265200,69,77.45,-23.1203,-134.9692,7.36
54,Chaozhou,20,CN,1587265200,52,84.9,23.6651,116.6379,6.02
55,Havøysund,85,NO,1587265200,89,39.07,70.9963,24.6622,13.2
56,‘Āhuimanu,8,US,1587265200,63,77.45,21.4447,-157.8378,6.93
57,Bikaner,100,IN,1587265200,35,82.67,28.0167,73.3,5.68
58,Arraial do Cabo,99,BR,1587265200,66,73.99,-22.9661,-42.0278,6.02
59,Gornoye Loo,0,RU,1587265200,58,51.1,43.7129,39.6049,2.19
60,Sawtell,35,AU,1587265200,63,71.64,-30.3833,153.1,4.99
61,Port Blair,26,IN,1587265200,75,84.45,11.6667,92.75,9.78
62,Sitka,0,US,1587265200,72,51.96,57.0531,-135.33,4.03
63,Vinstra,0,NO,1587265200,86,29.88,61.5952,9.7523,3.11
64,Fortuna,100,US,1587265200,83,51.78,40.5982,-124.1573,4.07
65,Tevaitoa,74,PF,1587265200,71,84.13,-16.7833,-151.5,11.05
